% Model:              no_membrane v1.mph
% Version:            COMSOL 6.1.0.357
% Date:               Oct 25 2023, 17:37
% Table:              固有周波数 (スタディ 2) - 
% 固有周波数 (Hz)             角振動数 (rad/s)             ダンピング比 (1)               Q値 (1)
54.168389407289744       340.35002843746526       0                        Inf
79.07214351245194        496.82493032463367       0                        Inf
94.6701397922429         594.8300313712581        0                        Inf
101.93989126678375       640.5072270229402        0                        Inf
111.16915220350391       698.4963837366669        0                        Inf
117.26777423895857       736.8151561038773        0                        Inf
118.76318426477923       746.2110944063227        0                        Inf
135.97011509757095       854.325429396575         0                        Inf
145.12010066755016       911.8164842907736        0                        Inf
146.11882968196792       918.0916837600173        0                        Inf
155.56388210896645       977.4366983948753        0                        Inf
156.13734259283024       981.0398568813364        0                        Inf
165.4991894191838        1039.8620753087469       0                        Inf
179.76293821899628       1129.4838521930292       0                        Inf
181.73149809256034       1141.8526786669102       0                        Inf
182.66619165875733       1147.7255315487544       0                        Inf
184.62759968760048       1160.0494216569657       0                        Inf
188.20083675270186       1182.5007322834801       0                        Inf
189.13267639988015       1188.3556534632783       0                        Inf
198.674475728341         1248.3085468079196       0                        Inf
